file_path	size_in_bytes	type	label	source_image_label	associated_annotation_method	associated_protocol
data/VPP/metadata/TS_0001.rawtlt	220					
data/VPP/metadata/TS_0001.st	2903187040	http://bia/Image	Tilt series 1	['Frames 1_001_-0.0', 'Frames 1_002_2.0', 'Frames 1_003_-2.0', 'Frames 1_004_-4.0', 'Frames 1_005_4.0', 'Frames 1_006_6.0', 'Frames 1_007_-6.0', 'Frames 1_008_-8.0', 'Frames 1_009_8.0', 'Frames 1_010_10.0', 'Frames 1_011_-10.0', 'Frames 1_012_-12.0', 'Frames 1_013_12.0', 'Frames 1_014_14.0', 'Frames 1_015_-14.0', 'Frames 1_016_-16.0', 'Frames 1_017_16.0', 'Frames 1_018_18.0', 'Frames 1_019_-18.0', 'Frames 1_020_-20.0', 'Frames 1_021_20.0', 'Frames 1_022_22.0', 'Frames 1_023_-22.0', 'Frames 1_024_-24.0', 'Frames 1_025_24.0', 'Frames 1_026_26.0', 'Frames 1_027_-26.0', 'Frames 1_028_-28.0', 'Frames 1_029_28.0', 'Frames 1_030_30.0', 'Frames 1_031_-30.0', 'Frames 1_032_-32.0', 'Frames 1_033_32.0', 'Frames 1_034_34.0', 'Frames 1_035_-34.0', 'Frames 1_036_-36.0', 'Frames 1_037_36.0', 'Frames 1_038_38.0', 'Frames 1_039_-38.0', 'Frames 1_040_-40.0', 'Frames 1_041_40.0', 'Frames 1_042_42.0', 'Frames 1_043_-42.0', 'Frames 1_044_-44.0', 'Frames 1_045_44.0', 'Frames 1_046_46.0', 'Frames 1_047_-46.0', 'Frames 1_048_-48.0', 'Frames 1_049_48.0', 'Frames 1_050_50.0', 'Frames 1_051_-50.0']		_:Tilt series preprocessing
data/VPP/metadata/TS_0001.xf	3723					
data/VPP/metadata/TS_0002.rawtlt	220					
data/VPP/metadata/TS_0002.st	2903187040	http://bia/Image	Tilt series 2	['Frames 2_001_-0.0', 'Frames 2_002_2.0', 'Frames 2_003_-2.0', 'Frames 2_004_-4.0', 'Frames 2_005_4.0', 'Frames 2_006_6.0', 'Frames 2_007_-6.0', 'Frames 2_008_-8.0', 'Frames 2_009_8.0', 'Frames 2_010_10.0', 'Frames 2_011_-10.0', 'Frames 2_012_-12.0', 'Frames 2_013_12.0', 'Frames 2_014_14.0', 'Frames 2_015_-14.0', 'Frames 2_016_-16.0', 'Frames 2_017_16.0', 'Frames 2_018_18.0', 'Frames 2_019_-18.0', 'Frames 2_020_-20.0', 'Frames 2_021_20.0', 'Frames 2_022_22.0', 'Frames 2_023_-22.0', 'Frames 2_024_-24.0', 'Frames 2_025_24.0', 'Frames 2_026_26.0', 'Frames 2_027_-26.0', 'Frames 2_028_-28.0', 'Frames 2_029_28.0', 'Frames 2_030_30.0', 'Frames 2_031_-30.0', 'Frames 2_032_-32.0', 'Frames 2_033_32.0', 'Frames 2_034_34.0', 'Frames 2_035_-34.0', 'Frames 2_036_-36.0', 'Frames 2_037_36.0', 'Frames 2_038_38.0', 'Frames 2_039_-38.0', 'Frames 2_040_-40.0', 'Frames 2_041_40.0', 'Frames 2_042_42.0', 'Frames 2_043_-42.0', 'Frames 2_044_-44.0', 'Frames 2_045_44.0', 'Frames 2_046_46.0', 'Frames 2_047_-46.0', 'Frames 2_048_-48.0', 'Frames 2_049_48.0', 'Frames 2_050_50.0', 'Frames 2_051_-50.0']		_:Tilt series preprocessing
data/VPP/metadata/TS_0002.xf	3723					
data/VPP/metadata/TS_0003.rawtlt	220					
data/VPP/metadata/TS_0003.st	2903187040	http://bia/Image	Tilt series 3	['Frames 3_001_-0.0', 'Frames 3_002_2.0', 'Frames 3_003_-2.0', 'Frames 3_004_-4.0', 'Frames 3_005_4.0', 'Frames 3_006_6.0', 'Frames 3_007_-6.0', 'Frames 3_008_-8.0', 'Frames 3_009_8.0', 'Frames 3_010_10.0', 'Frames 3_011_-10.0', 'Frames 3_012_-12.0', 'Frames 3_013_12.0', 'Frames 3_014_14.0', 'Frames 3_015_-14.0', 'Frames 3_016_-16.0', 'Frames 3_017_16.0', 'Frames 3_018_18.0', 'Frames 3_019_-18.0', 'Frames 3_020_-20.0', 'Frames 3_021_20.0', 'Frames 3_022_22.0', 'Frames 3_023_-22.0', 'Frames 3_024_-24.0', 'Frames 3_025_24.0', 'Frames 3_026_26.0', 'Frames 3_027_-26.0', 'Frames 3_028_-28.0', 'Frames 3_029_28.0', 'Frames 3_030_30.0', 'Frames 3_031_-30.0', 'Frames 3_032_-32.0', 'Frames 3_033_32.0', 'Frames 3_034_34.0', 'Frames 3_035_-34.0', 'Frames 3_036_-36.0', 'Frames 3_037_36.0', 'Frames 3_038_38.0', 'Frames 3_039_-38.0', 'Frames 3_040_-40.0', 'Frames 3_041_40.0', 'Frames 3_042_42.0', 'Frames 3_043_-42.0', 'Frames 3_044_-44.0', 'Frames 3_045_44.0', 'Frames 3_046_46.0', 'Frames 3_047_-46.0', 'Frames 3_048_-48.0', 'Frames 3_049_48.0', 'Frames 3_050_50.0', 'Frames 3_051_-50.0']		_:Tilt series preprocessing
data/VPP/metadata/TS_0003.xf	3723					
data/VPP/metadata/TS_0004.rawtlt	220					
