file_path	size_in_bytes	type	label	source_image_label	associated_annotation_method	associated_protocol
data/DEF/metadata/TS_026.rawtlt	189					
data/DEF/metadata/TS_026.st	2504710528	http://bia/Image	Tilt series 26	['Frames 26_001_-0.0', 'Frames 26_002_2.0', 'Frames 26_003_-2.0', 'Frames 26_004_-4.0', 'Frames 26_005_4.0', 'Frames 26_006_6.0', 'Frames 26_007_-6.0', 'Frames 26_008_-8.0', 'Frames 26_009_8.0', 'Frames 26_010_10.0', 'Frames 26_011_-10.0', 'Frames 26_012_-12.0', 'Frames 26_013_12.0', 'Frames 26_014_14.0', 'Frames 26_015_-14.0', 'Frames 26_016_-16.0', 'Frames 26_017_16.0', 'Frames 26_018_18.0', 'Frames 26_019_-18.0', 'Frames 26_020_-20.0', 'Frames 26_021_20.0', 'Frames 26_022_22.0', 'Frames 26_023_-22.0', 'Frames 26_024_-24.0', 'Frames 26_025_24.0', 'Frames 26_026_26.0', 'Frames 26_027_-26.0', 'Frames 26_028_-28.0', 'Frames 26_029_28.0', 'Frames 26_030_30.0', 'Frames 26_031_-30.0', 'Frames 26_032_-32.0', 'Frames 26_033_32.0', 'Frames 26_034_34.0', 'Frames 26_035_-34.0', 'Frames 26_036_-36.0', 'Frames 26_037_36.0', 'Frames 26_038_38.0', 'Frames 26_039_-38.0', 'Frames 26_040_-40.0', 'Frames 26_041_40.0', 'Frames 26_042_42.0', 'Frames 26_043_-42.0', 'Frames 26_044_-44.0', 'Frames 26_045_44.0', 'Frames 26_046_46.0', 'Frames 26_047_-46.0', 'Frames 26_048_-48.0', 'Frames 26_049_48.0', 'Frames 26_050_50.0', 'Frames 26_051_-50.0']		_:Tilt series preprocessing
data/DEF/metadata/TS_026.xf	3213					
data/DEF/metadata/TS_027.rawtlt	212					
data/DEF/metadata/TS_027.st	2789336608	http://bia/Image	Tilt series 27	['Frames 27_001_-0.0', 'Frames 27_002_2.0', 'Frames 27_003_-2.0', 'Frames 27_004_-4.0', 'Frames 27_005_4.0', 'Frames 27_006_6.0', 'Frames 27_007_-6.0', 'Frames 27_008_-8.0', 'Frames 27_009_8.0', 'Frames 27_010_10.0', 'Frames 27_011_-10.0', 'Frames 27_012_-12.0', 'Frames 27_013_12.0', 'Frames 27_014_14.0', 'Frames 27_015_-14.0', 'Frames 27_016_-16.0', 'Frames 27_017_16.0', 'Frames 27_018_18.0', 'Frames 27_019_-18.0', 'Frames 27_020_-20.0', 'Frames 27_021_20.0', 'Frames 27_022_22.0', 'Frames 27_023_-22.0', 'Frames 27_024_-24.0', 'Frames 27_025_24.0', 'Frames 27_026_26.0', 'Frames 27_027_-26.0', 'Frames 27_028_-28.0', 'Frames 27_029_28.0', 'Frames 27_030_30.0', 'Frames 27_031_-30.0', 'Frames 27_032_-32.0', 'Frames 27_033_32.0', 'Frames 27_034_34.0', 'Frames 27_035_-34.0', 'Frames 27_036_-36.0', 'Frames 27_037_36.0', 'Frames 27_038_38.0', 'Frames 27_039_-38.0', 'Frames 27_040_-40.0', 'Frames 27_041_40.0', 'Frames 27_042_42.0', 'Frames 27_043_-42.0', 'Frames 27_044_-44.0', 'Frames 27_045_44.0', 'Frames 27_046_46.0', 'Frames 27_047_-46.0', 'Frames 27_048_-48.0', 'Frames 27_049_48.0', 'Frames 27_050_50.0', 'Frames 27_051_-50.0']		_:Tilt series preprocessing
data/DEF/metadata/TS_027.xf	3578					
data/DEF/metadata/TS_028.rawtlt	130					
data/DEF/metadata/TS_028.st	1764682720	http://bia/Image	Tilt series 28	['Frames 28_001_-0.0', 'Frames 28_002_2.0', 'Frames 28_003_-2.0', 'Frames 28_004_-4.0', 'Frames 28_005_4.0', 'Frames 28_006_6.0', 'Frames 28_007_-6.0', 'Frames 28_008_-8.0', 'Frames 28_009_8.0', 'Frames 28_010_10.0', 'Frames 28_011_-10.0', 'Frames 28_012_-12.0', 'Frames 28_013_12.0', 'Frames 28_014_14.0', 'Frames 28_015_-14.0', 'Frames 28_016_-16.0', 'Frames 28_017_16.0', 'Frames 28_018_18.0', 'Frames 28_019_-18.0', 'Frames 28_020_-20.0', 'Frames 28_021_20.0', 'Frames 28_022_22.0', 'Frames 28_023_-22.0', 'Frames 28_024_-24.0', 'Frames 28_025_24.0', 'Frames 28_026_26.0', 'Frames 28_027_-26.0', 'Frames 28_028_-28.0', 'Frames 28_029_28.0', 'Frames 28_030_30.0', 'Frames 28_031_-30.0', 'Frames 28_032_-32.0', 'Frames 28_033_32.0', 'Frames 28_034_34.0', 'Frames 28_035_-34.0', 'Frames 28_036_-36.0', 'Frames 28_037_36.0', 'Frames 28_038_38.0', 'Frames 28_039_-38.0', 'Frames 28_040_-40.0', 'Frames 28_041_40.0', 'Frames 28_042_42.0', 'Frames 28_043_-42.0', 'Frames 28_044_-44.0', 'Frames 28_045_44.0', 'Frames 28_046_46.0', 'Frames 28_047_-46.0', 'Frames 28_048_-48.0', 'Frames 28_049_48.0', 'Frames 28_050_50.0', 'Frames 28_051_-50.0']		_:Tilt series preprocessing
data/DEF/metadata/TS_028.xf	2263					
data/DEF/metadata/TS_029.rawtlt	180					
