file_path	size_in_bytes	type	label	source_image_label	associated_specimen	associated_annotation_method	associated_protocol
data/Tomo1/Tomo1_L6.ali	105066326	http://bia/Image	Tilt series 01	['Frames_01_14_33_40', 'Frames_01_14_35_25', 'Frames_01_14_36_13', 'Frames_01_14_37_24', 'Frames_01_14_38_06', 'Frames_01_14_38_40', 'Frames_01_14_39_22', 'Frames_01_14_40_08', 'Frames_01_14_40_50', 'Frames_01_14_41_36', 'Frames_01_14_42_19', 'Frames_01_14_43_01', 'Frames_01_14_43_43', 'Frames_01_14_44_38', 'Frames_01_14_45_20', 'Frames_01_14_46_15', 'Frames_01_14_46_57', 'Frames_01_14_47_38', 'Frames_01_14_48_22', 'Frames_01_14_49_05', 'Frames_01_14_49_53', 'Frames_01_14_50_38', 'Frames_01_14_51_20', 'Frames_01_14_51_54', 'Frames_01_14_52_35', 'Frames_01_14_53_18', 'Frames_01_14_54_05', 'Frames_01_14_54_52', 'Frames_01_14_55_39', 'Frames_01_14_56_27', 'Frames_01_15_04_33', 'Frames_01_15_05_07', 'Frames_01_15_05_41', 'Frames_01_15_06_23', 'Frames_01_15_07_05', 'Frames_01_15_07_47', 'Frames_01_15_08_21', 'Frames_01_15_09_04', 'Frames_01_15_09_48', 'Frames_01_15_10_22', 'Frames_01_15_11_10', 'Frames_01_15_11_45', 'Frames_01_15_12_20', 'Frames_01_15_13_04', 'Frames_01_15_13_48', 'Frames_01_15_14_35', 'Frames_01_15_15_11', 'Frames_01_15_16_15', 'Frames_01_15_16_59', 'Frames_01_15_17_43', 'Frames_01_15_18_29', 'Frames_01_15_19_14', 'Frames_01_15_20_02', 'Frames_01_15_20_46', 'Frames_01_15_21_31', 'Frames_01_15_22_18', 'Frames_01_15_22_56', 'Frames_01_15_23_43', 'Frames_01_15_24_30', 'Frames_01_15_25_24', 'Frames_01_15_26_16', 'Frames_01_15_27_15']			_:Tilt series preprocessing
data/Tomo1/raw_data/imod_metadata/Tomo1_L6.defocus	1561						
data/Tomo1/raw_data/imod_metadata/Tomo1_L6.tlt	488						
data/Tomo1/raw_data/imod_metadata/Tomo1_L6.xf	4453						
data/Tomo1/raw_data/imod_metadata/ctfphaseflip.txt	3246						
data/Tomo1/raw_data/mdocs/Tomo1_L6_minus.st.mdoc	15310						
data/Tomo1/raw_data/mdocs/Tomo1_L6_plus.st.mdoc	15836						
data/Tomo10/L1Tomo1.ali	1625917242	http://bia/Image	Tilt series 10	['Frames_10_14_08_40', 'Frames_10_14_10_56', 'Frames_10_14_11_29', 'Frames_10_14_12_10', 'Frames_10_14_12_43', 'Frames_10_14_13_05', 'Frames_10_14_13_47', 'Frames_10_14_14_19', 'Frames_10_14_15_01', 'Frames_10_14_15_42', 'Frames_10_14_16_25', 'Frames_10_14_16_48', 'Frames_10_14_17_30', 'Frames_10_14_18_04', 'Frames_10_14_18_46', 'Frames_10_14_19_28', 'Frames_10_14_20_03', 'Frames_10_14_20_40', 'Frames_10_14_21_30', 'Frames_10_14_22_05', 'Frames_10_14_22_51', 'Frames_10_14_23_39', 'Frames_10_14_31_11', 'Frames_10_14_31_43', 'Frames_10_14_32_24', 'Frames_10_14_33_05', 'Frames_10_14_33_38', 'Frames_10_14_34_10', 'Frames_10_14_34_46', 'Frames_10_14_35_27', 'Frames_10_14_36_07', 'Frames_10_14_36_48', 'Frames_10_14_37_16', 'Frames_10_14_37_56', 'Frames_10_14_38_19', 'Frames_10_14_39_03', 'Frames_10_14_39_35', 'Frames_10_14_40_12', 'Frames_10_14_40_54', 'Frames_10_14_41_27', 'Frames_10_14_41_49', 'Frames_10_14_42_31', 'Frames_10_14_43_04', 'Frames_10_14_43_49', 'Frames_10_14_44_31', 'Frames_10_14_45_14', 'Frames_10_14_46_04', 'Frames_10_15_10_30', 'Frames_10_15_11_14', 'Frames_10_15_11_56', 'Frames_10_15_12_39', 'Frames_10_15_13_21', 'Frames_10_15_14_04', 'Frames_10_15_14_48', 'Frames_10_15_15_32', 'Frames_10_15_16_17', 'Frames_10_15_17_02', 'Frames_10_15_17_48', 'Frames_10_15_18_36']			_:Tilt series preprocessing
data/Tomo11/Tomo7_Lam7.ali	1625917242	http://bia/Image	Tilt series 11	['Frames_11_19_22_34', 'Frames_11_19_23_49', 'Frames_11_19_24_41', 'Frames_11_19_25_30', 'Frames_11_19_26_19', 'Frames_11_19_26_57', 'Frames_11_19_27_47', 'Frames_11_19_28_34', 'Frames_11_19_29_25', 'Frames_11_19_30_12', 'Frames_11_19_31_02', 'Frames_11_19_31_50', 'Frames_11_19_32_47', 'Frames_11_19_33_26', 'Frames_11_19_34_15', 'Frames_11_19_35_04', 'Frames_11_19_35_54', 'Frames_11_19_36_44', 'Frames_11_19_37_34', 'Frames_11_19_38_24', 'Frames_11_19_39_16', 'Frames_11_19_40_07', 'Frames_11_19_41_00', 'Frames_11_19_41_52', 'Frames_11_19_42_44', 'Frames_11_19_43_39', 'Frames_11_19_44_27', 'Frames_11_19_45_22', 'Frames_11_19_46_16', 'Frames_11_19_47_12', 'Frames_11_19_48_08', 'Frames_11_19_51_37', 'Frames_11_19_52_36', 'Frames_11_19_53_27', 'Frames_11_19_54_17', 'Frames_11_19_54_57', 'Frames_11_19_55_47', 'Frames_11_19_56_28', 'Frames_11_19_57_18', 'Frames_11_19_58_10', 'Frames_11_19_59_12', 'Frames_11_20_00_03', 'Frames_11_20_00_52', 'Frames_11_20_01_43', 'Frames_11_20_02_34', 'Frames_11_20_03_32', 'Frames_11_20_04_16', 'Frames_11_20_05_09', 'Frames_11_20_06_03', 'Frames_11_20_06_47', 'Frames_11_20_07_44', 'Frames_11_20_08_39', 'Frames_11_20_09_43', 'Frames_11_20_10_32', 'Frames_11_20_11_34', 'Frames_11_20_12_38', 'Frames_11_20_13_45', 'Frames_11_20_14_55', 'Frames_11_20_16_09']			_:Tilt series preprocessing
data/Tomo12/20171011_G3_CL023_L_L1_tomo_2_cut.ali	1570801438	http://bia/Image	Tilt series 12	['Frames_12_-0.0_10_50_32', 'Frames_12_-10.0_11_03_10', 'Frames_12_-12.0_11_04_28', 'Frames_12_-14.0_11_08_13', 'Frames_12_-16.0_11_09_31', 'Frames_12_-18.0_11_13_23', 'Frames_12_-2.0_10_53_20', 'Frames_12_-20.0_11_14_41', 'Frames_12_-22.0_11_18_34', 'Frames_12_-24.0_11_19_52', 'Frames_12_-26.0_11_23_42', 'Frames_12_-28.0_11_25_02', 'Frames_12_-30.0_11_28_53', 'Frames_12_-32.0_11_30_11', 'Frames_12_-34.0_11_34_07', 'Frames_12_-36.0_11_35_25', 'Frames_12_-38.0_11_39_06', 'Frames_12_-4.0_10_54_38', 'Frames_12_-40.0_11_40_25', 'Frames_12_-42.0_11_44_21', 'Frames_12_-44.0_11_45_40', 'Frames_12_-46.0_11_49_24', 'Frames_12_-48.0_11_50_44', 'Frames_12_-50.0_11_54_34', 'Frames_12_-52.0_11_55_54', 'Frames_12_-54.0_11_59_39', 'Frames_12_-56.0_12_00_58', 'Frames_12_-6.0_10_58_05', 'Frames_12_-8.0_10_59_23', 'Frames_12_10.0_11_01_50', 'Frames_12_12.0_11_05_49', 'Frames_12_14.0_11_06_51', 'Frames_12_16.0_11_10_54', 'Frames_12_18.0_11_11_56', 'Frames_12_2.0_10_52_01', 'Frames_12_20.0_11_16_05', 'Frames_12_22.0_11_17_12', 'Frames_12_24.0_11_21_17', 'Frames_12_26.0_11_22_19', 'Frames_12_28.0_11_26_28', 'Frames_12_30.0_11_27_30', 'Frames_12_32.0_11_31_38', 'Frames_12_34.0_11_32_41', 'Frames_12_36.0_11_36_39', 'Frames_12_38.0_11_37_41', 'Frames_12_4.0_10_55_43', 'Frames_12_40.0_11_41_40', 'Frames_12_42.0_11_42_55', 'Frames_12_44.0_11_46_55', 'Frames_12_46.0_11_47_58', 'Frames_12_48.0_11_52_05', 'Frames_12_50.0_11_53_08', 'Frames_12_52.0_11_57_10', 'Frames_12_54.0_11_58_13', 'Frames_12_56.0_12_02_15', 'Frames_12_6.0_10_56_45', 'Frames_12_8.0_11_00_48']			_:Tilt series preprocessing
