file_path	size_in_bytes	type	label	source_image_label	associated_specimen	associated_annotation_method	associated_protocol
data/bin4_deconvoluted_tomos_forvisualisation/t1.rec	799310848	http://bia/Image	Tomogram 1	Tilt series 01			['_:Tomogram binning and deconvolution filtering', '_:Tomogram contrast enhancement']
data/bin4_deconvoluted_tomos_forvisualisation/t10.rec	799310848	http://bia/Image	Tomogram 10	Tilt series 10			['_:Tomogram binning and deconvolution filtering', '_:Tomogram contrast enhancement']
data/bin4_deconvoluted_tomos_forvisualisation/t11.rec	799310848	http://bia/Image	Tomogram 11	Tilt series 11			['_:Tomogram binning and deconvolution filtering', '_:Tomogram contrast enhancement']
data/bin4_deconvoluted_tomos_forvisualisation/t12.rec	799310848	http://bia/Image	Tomogram 12	Tilt series 12			['_:Tomogram binning and deconvolution filtering', '_:Tomogram contrast enhancement']
data/bin4_deconvoluted_tomos_forvisualisation/t13.rec	799310848	http://bia/Image	Tomogram 13	Tilt series 13			['_:Tomogram binning and deconvolution filtering', '_:Tomogram contrast enhancement']
data/bin4_deconvoluted_tomos_forvisualisation/t14.rec	799310848	http://bia/Image	Tomogram 14	Tilt series 14			['_:Tomogram binning and deconvolution filtering', '_:Tomogram contrast enhancement']
data/bin4_deconvoluted_tomos_forvisualisation/t15.rec	799310848	http://bia/Image	Tomogram 15	Tilt series 15			['_:Tomogram binning and deconvolution filtering', '_:Tomogram contrast enhancement']
data/bin4_deconvoluted_tomos_forvisualisation/t16.rec	799310848	http://bia/Image	Tomogram 16	Tilt series 16			['_:Tomogram binning and deconvolution filtering', '_:Tomogram contrast enhancement']
data/bin4_deconvoluted_tomos_forvisualisation/t17.rec	799310848	http://bia/Image	Tomogram 17	Tilt series 17			['_:Tomogram binning and deconvolution filtering', '_:Tomogram contrast enhancement']
data/bin4_deconvoluted_tomos_forvisualisation/t18.rec	799310848	http://bia/Image	Tomogram 18	Tilt series 18			['_:Tomogram binning and deconvolution filtering', '_:Tomogram contrast enhancement']
data/bin4_deconvoluted_tomos_forvisualisation/t19.rec	799310848	http://bia/Image	Tomogram 19	Tilt series 19			['_:Tomogram binning and deconvolution filtering', '_:Tomogram contrast enhancement']
data/bin4_deconvoluted_tomos_forvisualisation/t2.rec	799310848	http://bia/Image	Tomogram 2	Tilt series 02			['_:Tomogram binning and deconvolution filtering', '_:Tomogram contrast enhancement']
data/bin4_deconvoluted_tomos_forvisualisation/t20.rec	799310848	http://bia/Image	Tomogram 20	Tilt series 20			['_:Tomogram binning and deconvolution filtering', '_:Tomogram contrast enhancement']
data/bin4_deconvoluted_tomos_forvisualisation/t3.rec	799310848	http://bia/Image	Tomogram 3	Tilt series 03			['_:Tomogram binning and deconvolution filtering', '_:Tomogram contrast enhancement']
data/bin4_deconvoluted_tomos_forvisualisation/t4.rec	799310848	http://bia/Image	Tomogram 4	Tilt series 04			['_:Tomogram binning and deconvolution filtering', '_:Tomogram contrast enhancement']
data/bin4_deconvoluted_tomos_forvisualisation/t5.rec	799310848	http://bia/Image	Tomogram 5	Tilt series 05			['_:Tomogram binning and deconvolution filtering', '_:Tomogram contrast enhancement']
data/bin4_deconvoluted_tomos_forvisualisation/t6.rec	799310848	http://bia/Image	Tomogram 6	Tilt series 06			['_:Tomogram binning and deconvolution filtering', '_:Tomogram contrast enhancement']
data/bin4_deconvoluted_tomos_forvisualisation/t7.rec	799310848	http://bia/Image	Tomogram 7	Tilt series 07			['_:Tomogram binning and deconvolution filtering', '_:Tomogram contrast enhancement']
data/bin4_deconvoluted_tomos_forvisualisation/t8.rec	799310848	http://bia/Image	Tomogram 8	Tilt series 08			['_:Tomogram binning and deconvolution filtering', '_:Tomogram contrast enhancement']
data/bin4_deconvoluted_tomos_forvisualisation/t9.rec	799310848	http://bia/Image	Tomogram 9	Tilt series 09			['_:Tomogram binning and deconvolution filtering', '_:Tomogram contrast enhancement']
