file_path	size_in_bytes	type	label	source_image_label	associated_specimen	associated_annotation_method	associated_protocol
data/220330/alignment/TS_008.mrc/TS_008.mrc.aln	145515						
data/220330/alignment/TS_008.mrc/TS_008.mrc.rawtlt	252						
data/220330/alignment/TS_008.mrc/TS_008.mrc.st	5562502144	http://bia/Image	Tilt series 8 (dataset 2)	['Frames 8 (dataset 2)_001_13.0', 'Frames 8 (dataset 2)_002_15.0', 'Frames 8 (dataset 2)_003_17.0', 'Frames 8 (dataset 2)_004_11.0', 'Frames 8 (dataset 2)_005_9.0', 'Frames 8 (dataset 2)_006_19.0', 'Frames 8 (dataset 2)_007_21.0', 'Frames 8 (dataset 2)_008_7.0', 'Frames 8 (dataset 2)_009_5.0', 'Frames 8 (dataset 2)_010_23.0', 'Frames 8 (dataset 2)_011_25.0', 'Frames 8 (dataset 2)_012_3.0', 'Frames 8 (dataset 2)_013_1.0', 'Frames 8 (dataset 2)_014_27.0', 'Frames 8 (dataset 2)_015_29.0', 'Frames 8 (dataset 2)_016_-1.0', 'Frames 8 (dataset 2)_017_-3.0', 'Frames 8 (dataset 2)_018_31.0', 'Frames 8 (dataset 2)_019_33.0', 'Frames 8 (dataset 2)_020_-5.0', 'Frames 8 (dataset 2)_021_-7.0', 'Frames 8 (dataset 2)_022_35.0', 'Frames 8 (dataset 2)_023_37.0', 'Frames 8 (dataset 2)_024_-9.0', 'Frames 8 (dataset 2)_025_-11.0', 'Frames 8 (dataset 2)_026_39.0', 'Frames 8 (dataset 2)_027_41.0', 'Frames 8 (dataset 2)_028_-13.0', 'Frames 8 (dataset 2)_029_-15.0', 'Frames 8 (dataset 2)_030_43.0', 'Frames 8 (dataset 2)_031_45.0', 'Frames 8 (dataset 2)_032_-17.0', 'Frames 8 (dataset 2)_033_-19.0', 'Frames 8 (dataset 2)_034_47.0', 'Frames 8 (dataset 2)_035_49.0', 'Frames 8 (dataset 2)_036_-21.0', 'Frames 8 (dataset 2)_037_-23.0', 'Frames 8 (dataset 2)_038_51.0', 'Frames 8 (dataset 2)_039_53.0', 'Frames 8 (dataset 2)_040_-25.0', 'Frames 8 (dataset 2)_041_-27.0', 'Frames 8 (dataset 2)_042_55.0', 'Frames 8 (dataset 2)_043_57.0', 'Frames 8 (dataset 2)_044_-29.0', 'Frames 8 (dataset 2)_045_-31.0', 'Frames 8 (dataset 2)_046_59.0', 'Frames 8 (dataset 2)_047_61.0', 'Frames 8 (dataset 2)_048_-33.0', 'Frames 8 (dataset 2)_049_-35.0', 'Frames 8 (dataset 2)_050_63.0', 'Frames 8 (dataset 2)_051_65.0', 'Frames 8 (dataset 2)_052_-37.0', 'Frames 8 (dataset 2)_053_-39.0', 'Frames 8 (dataset 2)_054_-41.0', 'Frames 8 (dataset 2)_055_-43.0', 'Frames 8 (dataset 2)_056_-45.0', 'Frames 8 (dataset 2)_057_-47.0', 'Frames 8 (dataset 2)_058_-49.0', 'Frames 8 (dataset 2)_059_-51.0']			_:Tilt series preprocessing
data/220330/alignment/TS_008.mrc/TS_008.mrc.xf	3241						
data/220330/alignment/TS_010.mrc/TS_010.mrc.aln	142827						
data/220330/alignment/TS_010.mrc/TS_010.mrc.rawtlt	248						
data/220330/alignment/TS_010.mrc/TS_010.mrc.st	5468222464	http://bia/Image	Tilt series 10	['Frames 10_001_13.0', 'Frames 10_002_15.0', 'Frames 10_003_17.0', 'Frames 10_004_11.0', 'Frames 10_005_9.0', 'Frames 10_006_19.0', 'Frames 10_007_21.0', 'Frames 10_008_7.0', 'Frames 10_009_5.0', 'Frames 10_010_23.0', 'Frames 10_011_25.0', 'Frames 10_012_3.0', 'Frames 10_013_1.0', 'Frames 10_014_27.0', 'Frames 10_015_29.0', 'Frames 10_016_-1.0', 'Frames 10_017_-3.0', 'Frames 10_018_31.0', 'Frames 10_019_33.0', 'Frames 10_020_-5.0', 'Frames 10_021_-7.0', 'Frames 10_022_35.0', 'Frames 10_023_37.0', 'Frames 10_024_-9.0', 'Frames 10_025_-11.0', 'Frames 10_026_39.0', 'Frames 10_027_41.0', 'Frames 10_028_-13.0', 'Frames 10_029_-15.0', 'Frames 10_030_43.0', 'Frames 10_031_45.0', 'Frames 10_032_-17.0', 'Frames 10_033_-19.0', 'Frames 10_034_47.0', 'Frames 10_035_49.0', 'Frames 10_036_-21.0', 'Frames 10_037_-23.0', 'Frames 10_038_51.0', 'Frames 10_039_53.0', 'Frames 10_040_-25.0', 'Frames 10_041_-27.0', 'Frames 10_042_55.0', 'Frames 10_043_57.0', 'Frames 10_044_-29.0', 'Frames 10_045_-31.0', 'Frames 10_046_59.0', 'Frames 10_047_61.0', 'Frames 10_048_-33.0', 'Frames 10_049_-35.0', 'Frames 10_050_63.0', 'Frames 10_051_65.0', 'Frames 10_052_-37.0', 'Frames 10_053_-39.0', 'Frames 10_054_-41.0', 'Frames 10_055_-43.0', 'Frames 10_056_-45.0', 'Frames 10_057_-47.0', 'Frames 10_058_-49.0', 'Frames 10_059_-51.0']			_:Tilt series preprocessing
data/220330/alignment/TS_010.mrc/TS_010.mrc.xf	3181						
data/220330/alignment/TS_017.mrc/TS_017.mrc.aln	156165						
data/220330/alignment/TS_017.mrc/TS_017.mrc.rawtlt	256						
