file_path	size_in_bytes	type	label	source_image_label	associated_specimen	associated_annotation_method	associated_protocol
data/Acute_glucose_starvation/metadata/TS_001.mrc.rawtlt	271						
data/Acute_glucose_starvation/metadata/TS_001.mrc.st	5845341184	http://bia/Image	Starvation condition tilt series 01	['Starvation condition frames 01_00001_-0.0', 'Starvation condition frames 01_00002_2.0', 'Starvation condition frames 01_00003_-2.0', 'Starvation condition frames 01_00004_4.0', 'Starvation condition frames 01_00005_-4.0', 'Starvation condition frames 01_00006_6.0', 'Starvation condition frames 01_00007_-6.0', 'Starvation condition frames 01_00008_8.0', 'Starvation condition frames 01_00009_-8.0', 'Starvation condition frames 01_00010_10.0', 'Starvation condition frames 01_00011_-10.0', 'Starvation condition frames 01_00012_12.0', 'Starvation condition frames 01_00013_-12.0', 'Starvation condition frames 01_00014_14.0', 'Starvation condition frames 01_00015_-14.0', 'Starvation condition frames 01_00016_16.0', 'Starvation condition frames 01_00017_-16.0', 'Starvation condition frames 01_00018_18.0', 'Starvation condition frames 01_00019_-18.0', 'Starvation condition frames 01_00020_20.0', 'Starvation condition frames 01_00021_-20.0', 'Starvation condition frames 01_00022_22.0', 'Starvation condition frames 01_00023_-22.0', 'Starvation condition frames 01_00024_24.0', 'Starvation condition frames 01_00025_-24.0', 'Starvation condition frames 01_00026_26.0', 'Starvation condition frames 01_00027_-26.0', 'Starvation condition frames 01_00028_28.0', 'Starvation condition frames 01_00029_-28.0', 'Starvation condition frames 01_00030_30.0', 'Starvation condition frames 01_00031_-30.0', 'Starvation condition frames 01_00032_32.0', 'Starvation condition frames 01_00033_-32.0', 'Starvation condition frames 01_00034_34.0', 'Starvation condition frames 01_00035_-34.0', 'Starvation condition frames 01_00036_36.0', 'Starvation condition frames 01_00037_-36.0', 'Starvation condition frames 01_00038_38.0', 'Starvation condition frames 01_00039_-38.0', 'Starvation condition frames 01_00040_40.0', 'Starvation condition frames 01_00041_-40.0', 'Starvation condition frames 01_00042_42.0', 'Starvation condition frames 01_00043_-42.0', 'Starvation condition frames 01_00044_44.0', 'Starvation condition frames 01_00045_-44.0', 'Starvation condition frames 01_00046_46.0', 'Starvation condition frames 01_00047_-46.0', 'Starvation condition frames 01_00048_48.0', 'Starvation condition frames 01_00049_-48.0', 'Starvation condition frames 01_00050_50.0', 'Starvation condition frames 01_00051_-50.0', 'Starvation condition frames 01_00052_52.0', 'Starvation condition frames 01_00053_-52.0', 'Starvation condition frames 01_00054_54.0', 'Starvation condition frames 01_00055_-54.0', 'Starvation condition frames 01_00056_56.0', 'Starvation condition frames 01_00057_-56.0', 'Starvation condition frames 01_00058_58.0', 'Starvation condition frames 01_00059_-58.0', 'Starvation condition frames 01_00060_-60.0', 'Starvation condition frames 01_00061_-62.0', 'Starvation condition frames 01_00062_-64.0']			_:Tilt series processing
data/Acute_glucose_starvation/metadata/TS_001.mrc.xf	3301						
data/Acute_glucose_starvation/metadata/TS_002.mrc.rawtlt	94						
data/Acute_glucose_starvation/metadata/TS_002.mrc.st	2168433664	http://bia/Image	Starvation condition tilt series 02	['Starvation condition frames 02_00001_-0.0', 'Starvation condition frames 02_00002_2.0', 'Starvation condition frames 02_00003_-2.0', 'Starvation condition frames 02_00004_4.0', 'Starvation condition frames 02_00005_-4.0', 'Starvation condition frames 02_00006_6.0', 'Starvation condition frames 02_00007_-6.0', 'Starvation condition frames 02_00008_8.0', 'Starvation condition frames 02_00009_-8.0', 'Starvation condition frames 02_00010_10.0', 'Starvation condition frames 02_00011_-10.0', 'Starvation condition frames 02_00012_12.0', 'Starvation condition frames 02_00013_-12.0', 'Starvation condition frames 02_00014_14.0', 'Starvation condition frames 02_00015_-14.0', 'Starvation condition frames 02_00016_16.0', 'Starvation condition frames 02_00017_-16.0', 'Starvation condition frames 02_00018_18.0', 'Starvation condition frames 02_00019_-18.0', 'Starvation condition frames 02_00020_20.0', 'Starvation condition frames 02_00021_-20.0', 'Starvation condition frames 02_00022_22.0', 'Starvation condition frames 02_00023_-22.0']			_:Tilt series processing
data/Acute_glucose_starvation/metadata/TS_002.mrc.xf	1381						
data/Acute_glucose_starvation/metadata/TS_003.mrc.rawtlt	267						
data/Acute_glucose_starvation/metadata/TS_003.mrc.st	5751061504	http://bia/Image	Starvation condition tilt series 03	['Starvation condition frames 03_00001_-0.0', 'Starvation condition frames 03_00002_2.0', 'Starvation condition frames 03_00003_-2.0', 'Starvation condition frames 03_00004_4.0', 'Starvation condition frames 03_00005_-4.0', 'Starvation condition frames 03_00006_6.0', 'Starvation condition frames 03_00007_-6.0', 'Starvation condition frames 03_00008_8.0', 'Starvation condition frames 03_00009_-8.0', 'Starvation condition frames 03_00010_10.0', 'Starvation condition frames 03_00011_-10.0', 'Starvation condition frames 03_00012_12.0', 'Starvation condition frames 03_00013_-12.0', 'Starvation condition frames 03_00014_14.0', 'Starvation condition frames 03_00015_-14.0', 'Starvation condition frames 03_00016_16.0', 'Starvation condition frames 03_00017_-16.0', 'Starvation condition frames 03_00018_18.0', 'Starvation condition frames 03_00019_-18.0', 'Starvation condition frames 03_00020_20.0', 'Starvation condition frames 03_00021_-20.0', 'Starvation condition frames 03_00022_22.0', 'Starvation condition frames 03_00023_-22.0', 'Starvation condition frames 03_00024_24.0', 'Starvation condition frames 03_00025_-24.0', 'Starvation condition frames 03_00026_26.0', 'Starvation condition frames 03_00027_-26.0', 'Starvation condition frames 03_00028_28.0', 'Starvation condition frames 03_00029_-28.0', 'Starvation condition frames 03_00030_30.0', 'Starvation condition frames 03_00031_-30.0', 'Starvation condition frames 03_00032_32.0', 'Starvation condition frames 03_00033_-32.0', 'Starvation condition frames 03_00034_34.0', 'Starvation condition frames 03_00035_-34.0', 'Starvation condition frames 03_00036_36.0', 'Starvation condition frames 03_00037_-36.0', 'Starvation condition frames 03_00038_38.0', 'Starvation condition frames 03_00039_-38.0', 'Starvation condition frames 03_00040_40.0', 'Starvation condition frames 03_00041_-40.0', 'Starvation condition frames 03_00042_42.0', 'Starvation condition frames 03_00043_-42.0', 'Starvation condition frames 03_00044_44.0', 'Starvation condition frames 03_00045_-44.0', 'Starvation condition frames 03_00046_46.0', 'Starvation condition frames 03_00047_-46.0', 'Starvation condition frames 03_00048_48.0', 'Starvation condition frames 03_00049_-48.0', 'Starvation condition frames 03_00050_50.0', 'Starvation condition frames 03_00051_-50.0', 'Starvation condition frames 03_00052_52.0', 'Starvation condition frames 03_00053_-52.0', 'Starvation condition frames 03_00054_54.0', 'Starvation condition frames 03_00055_-54.0', 'Starvation condition frames 03_00056_56.0', 'Starvation condition frames 03_00057_-56.0', 'Starvation condition frames 03_00058_-58.0', 'Starvation condition frames 03_00059_-60.0', 'Starvation condition frames 03_00060_-62.0', 'Starvation condition frames 03_00061_-64.0']			_:Tilt series processing
data/Acute_glucose_starvation/metadata/TS_003.mrc.xf	3301						
data/Acute_glucose_starvation/metadata/TS_004.mrc.rawtlt	275						
