file_path	size_in_bytes	type	label	source_image_label	associated_specimen	associated_annotation_method	associated_protocol
data/Control/metadata/TS_006.rawtlt	227						
data/Control/metadata/TS_006.st	4808264704	http://bia/Image	Control condition tilt series 06	['Control condition frames 06_00001_-0.0', 'Control condition frames 06_00002_2.0', 'Control condition frames 06_00003_-2.0', 'Control condition frames 06_00004_4.0', 'Control condition frames 06_00005_-4.0', 'Control condition frames 06_00006_6.0', 'Control condition frames 06_00007_-6.0', 'Control condition frames 06_00008_8.0', 'Control condition frames 06_00009_-8.0', 'Control condition frames 06_00010_10.0', 'Control condition frames 06_00011_-10.0', 'Control condition frames 06_00012_12.0', 'Control condition frames 06_00013_-12.0', 'Control condition frames 06_00014_14.0', 'Control condition frames 06_00015_-14.0', 'Control condition frames 06_00016_16.0', 'Control condition frames 06_00017_-16.0', 'Control condition frames 06_00018_18.0', 'Control condition frames 06_00019_-18.0', 'Control condition frames 06_00020_20.0', 'Control condition frames 06_00021_-20.0', 'Control condition frames 06_00022_22.0', 'Control condition frames 06_00023_-22.0', 'Control condition frames 06_00024_24.0', 'Control condition frames 06_00025_-24.0', 'Control condition frames 06_00026_26.0', 'Control condition frames 06_00027_-26.0', 'Control condition frames 06_00028_28.0', 'Control condition frames 06_00029_-28.0', 'Control condition frames 06_00030_30.0', 'Control condition frames 06_00031_-30.0', 'Control condition frames 06_00032_32.0', 'Control condition frames 06_00033_-32.0', 'Control condition frames 06_00034_34.0', 'Control condition frames 06_00035_-34.0', 'Control condition frames 06_00036_36.0', 'Control condition frames 06_00037_-36.0', 'Control condition frames 06_00038_38.0', 'Control condition frames 06_00039_-38.0', 'Control condition frames 06_00040_40.0', 'Control condition frames 06_00041_-40.0', 'Control condition frames 06_00042_42.0', 'Control condition frames 06_00043_-42.0', 'Control condition frames 06_00044_44.0', 'Control condition frames 06_00045_-44.0', 'Control condition frames 06_00046_46.0', 'Control condition frames 06_00047_-46.0', 'Control condition frames 06_00048_-48.0', 'Control condition frames 06_00049_-50.0', 'Control condition frames 06_00050_-52.0', 'Control condition frames 06_00051_-54.0', 'Control condition frames 06_00052_-56.0', 'Control condition frames 06_00053_-58.0', 'Control condition frames 06_00054_-60.0', 'Control condition frames 06_00055_-62.0', 'Control condition frames 06_00056_-64.0']			_:Tilt series processing
data/Control/metadata/TS_006.xf	3001						
data/Control/metadata/TS_007.rawtlt	239						
data/Control/metadata/TS_007.st	5091103744	http://bia/Image	Control condition tilt series 07	['Control condition frames 07_00001_-0.0', 'Control condition frames 07_00002_2.0', 'Control condition frames 07_00003_-2.0', 'Control condition frames 07_00004_4.0', 'Control condition frames 07_00005_-4.0', 'Control condition frames 07_00006_6.0', 'Control condition frames 07_00007_-6.0', 'Control condition frames 07_00008_8.0', 'Control condition frames 07_00009_-8.0', 'Control condition frames 07_00010_10.0', 'Control condition frames 07_00011_-10.0', 'Control condition frames 07_00012_12.0', 'Control condition frames 07_00013_-12.0', 'Control condition frames 07_00014_14.0', 'Control condition frames 07_00015_-14.0', 'Control condition frames 07_00016_16.0', 'Control condition frames 07_00017_-16.0', 'Control condition frames 07_00018_18.0', 'Control condition frames 07_00019_-18.0', 'Control condition frames 07_00020_20.0', 'Control condition frames 07_00021_-20.0', 'Control condition frames 07_00022_22.0', 'Control condition frames 07_00023_-22.0', 'Control condition frames 07_00024_24.0', 'Control condition frames 07_00025_-24.0', 'Control condition frames 07_00026_26.0', 'Control condition frames 07_00027_-26.0', 'Control condition frames 07_00028_28.0', 'Control condition frames 07_00029_-28.0', 'Control condition frames 07_00030_30.0', 'Control condition frames 07_00031_-30.0', 'Control condition frames 07_00032_32.0', 'Control condition frames 07_00033_-32.0', 'Control condition frames 07_00034_34.0', 'Control condition frames 07_00035_-34.0', 'Control condition frames 07_00036_36.0', 'Control condition frames 07_00037_-36.0', 'Control condition frames 07_00038_38.0', 'Control condition frames 07_00039_-38.0', 'Control condition frames 07_00040_40.0', 'Control condition frames 07_00041_-40.0', 'Control condition frames 07_00042_42.0', 'Control condition frames 07_00043_-42.0', 'Control condition frames 07_00044_44.0', 'Control condition frames 07_00045_-44.0', 'Control condition frames 07_00046_46.0', 'Control condition frames 07_00047_-46.0', 'Control condition frames 07_00048_48.0', 'Control condition frames 07_00049_-48.0', 'Control condition frames 07_00050_-50.0', 'Control condition frames 07_00051_-52.0', 'Control condition frames 07_00052_-54.0', 'Control condition frames 07_00053_-56.0', 'Control condition frames 07_00054_-58.0', 'Control condition frames 07_00055_-60.0', 'Control condition frames 07_00056_-62.0', 'Control condition frames 07_00057_-64.0']			_:Tilt series processing
data/Control/metadata/TS_007.xf	3241						
data/Control/metadata/TS_008.rawtlt	139						
data/Control/metadata/TS_008.st	3111230464	http://bia/Image	Control condition tilt series 08	['Control condition frames 08_00001_-0.0', 'Control condition frames 08_00002_2.0', 'Control condition frames 08_00003_-2.0', 'Control condition frames 08_00004_4.0', 'Control condition frames 08_00005_-4.0', 'Control condition frames 08_00006_6.0', 'Control condition frames 08_00007_-6.0', 'Control condition frames 08_00008_8.0', 'Control condition frames 08_00009_-8.0', 'Control condition frames 08_00010_10.0', 'Control condition frames 08_00011_-10.0', 'Control condition frames 08_00012_12.0', 'Control condition frames 08_00013_-12.0', 'Control condition frames 08_00014_14.0', 'Control condition frames 08_00015_-14.0', 'Control condition frames 08_00016_16.0', 'Control condition frames 08_00017_-16.0', 'Control condition frames 08_00018_18.0', 'Control condition frames 08_00019_-18.0', 'Control condition frames 08_00020_20.0', 'Control condition frames 08_00021_-20.0', 'Control condition frames 08_00022_22.0', 'Control condition frames 08_00023_-22.0', 'Control condition frames 08_00024_24.0', 'Control condition frames 08_00025_-24.0', 'Control condition frames 08_00026_26.0', 'Control condition frames 08_00027_-26.0', 'Control condition frames 08_00028_28.0', 'Control condition frames 08_00029_-28.0', 'Control condition frames 08_00030_30.0', 'Control condition frames 08_00031_-30.0', 'Control condition frames 08_00032_32.0', 'Control condition frames 08_00033_-32.0']			_:Tilt series processing
data/Control/metadata/TS_008.xf	1981						
data/Control/metadata/TS_017.rawtlt	251						
data/Control/metadata/TS_017.st	5373942784	http://bia/Image	Control condition tilt series 17	['Control condition frames 17_00001_-0.0', 'Control condition frames 17_00002_2.0', 'Control condition frames 17_00003_-2.0', 'Control condition frames 17_00004_4.0', 'Control condition frames 17_00005_-4.0', 'Control condition frames 17_00006_6.0', 'Control condition frames 17_00007_-6.0', 'Control condition frames 17_00008_8.0', 'Control condition frames 17_00009_-8.0', 'Control condition frames 17_00010_10.0', 'Control condition frames 17_00011_-10.0', 'Control condition frames 17_00012_12.0', 'Control condition frames 17_00013_-12.0', 'Control condition frames 17_00014_14.0', 'Control condition frames 17_00015_-14.0', 'Control condition frames 17_00016_16.0', 'Control condition frames 17_00017_-16.0', 'Control condition frames 17_00018_18.0', 'Control condition frames 17_00019_-18.0', 'Control condition frames 17_00020_20.0', 'Control condition frames 17_00021_-20.0', 'Control condition frames 17_00022_22.0', 'Control condition frames 17_00023_-22.0', 'Control condition frames 17_00024_24.0', 'Control condition frames 17_00025_-24.0', 'Control condition frames 17_00026_26.0', 'Control condition frames 17_00027_-26.0', 'Control condition frames 17_00028_28.0', 'Control condition frames 17_00029_-28.0', 'Control condition frames 17_00030_30.0', 'Control condition frames 17_00031_-30.0', 'Control condition frames 17_00032_32.0', 'Control condition frames 17_00033_-32.0', 'Control condition frames 17_00034_34.0', 'Control condition frames 17_00035_-34.0', 'Control condition frames 17_00036_36.0', 'Control condition frames 17_00037_-36.0', 'Control condition frames 17_00038_38.0', 'Control condition frames 17_00039_-38.0', 'Control condition frames 17_00040_40.0', 'Control condition frames 17_00041_-40.0', 'Control condition frames 17_00042_42.0', 'Control condition frames 17_00043_-42.0', 'Control condition frames 17_00044_44.0', 'Control condition frames 17_00045_-44.0', 'Control condition frames 17_00046_46.0', 'Control condition frames 17_00047_-46.0', 'Control condition frames 17_00048_48.0', 'Control condition frames 17_00049_-48.0', 'Control condition frames 17_00050_-50.0', 'Control condition frames 17_00051_-52.0', 'Control condition frames 17_00052_-54.0', 'Control condition frames 17_00053_-56.0', 'Control condition frames 17_00054_-58.0', 'Control condition frames 17_00055_-60.0', 'Control condition frames 17_00056_-62.0', 'Control condition frames 17_00057_-64.0']			_:Tilt series processing
data/Control/metadata/TS_017.xf	3241						
data/Control/metadata/mdocs_modified/TS_006.mdoc	41598						
data/Control/metadata/mdocs_modified/TS_007.mdoc	49324						
data/Control/metadata/mdocs_modified/TS_008.mdoc	28642						
data/Control/metadata/mdocs_modified/TS_017.mdoc	44833						
