file_path	size_in_bytes	type	label	source_image_label	associated_specimen	associated_annotation_method	associated_protocol	associated_image_acquisition	file_pattern
data/SMC3CAPH/S1_000.dm4	26306004	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_001.dm4	26306004	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_002.dm4	26306185	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_003.dm4	26306004	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_004.dm4	26306004	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_005.dm4	26306004	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_006.dm4	26306185	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_007.dm4	26306185	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_008.dm4	26306004	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_009.dm4	26306004	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_010.dm4	26306004	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_011.dm4	26306185	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_012.dm4	26306004	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_013.dm4	26306004	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_014.dm4	26306098	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_015.dm4	26306004	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_016.dm4	26306098	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_017.dm4	26306004	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_018.dm4	26306004	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_019.dm4	26306004	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
data/SMC3CAPH/S1_020.dm4	26306098	http://bia/Image	S1		_:DT40 specimen for SBF-SEM			_:Gatan 3View SBF-SEM on FEI Quanta 250 FEG	SMC3CAPH/S1_{z:d}.dm4
